問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
ある延性材料の試験片について、常温で引張試験を行ったところ、降伏点での引張応力が４５０MPaであった。この材料を許容応力９８MPaで使用するときの安全係数として、最も近い値はどれか。,0.2,0.5,2,5,10,,,,,0.2
"""都市ガスの原料及びその取り扱いに関す次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　メタンは常温では空気の約半分の重さであり拡散しやすいが、-82℃以下の低温では、空気より重いので注意を要する。

ロ　濃縮とは、貯蔵中のLNGにおいて外部からの入熱により沸点お低いメタンを主成分とするボイルオフガス（BOG)が発生することにより生じる現象である。

ハ　LNGを取り扱う配管等をクールダウンが生じないよう、時間をかける必要がある。

二　ガスが漏えいして発生した火災の場合は、ガスが漏えいした状態であっても早期に消火するほうが安全である。

ホ　LNGを取り扱う機器に対しては、低温靭性に優れた材料を用いる必要がある。""",イ、ハ,イ、二,ロ、二,ロ、ホ,ハ、ホ,,,,,イ、二
"""製造設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　回転式スクリュー型圧縮機は、圧力が変化すると、ガス流量も変動する。

ロ　仕切弁（ゲート弁）は、開閉時のストロークが小さく、開閉時期が短い。

ハ　うず巻ポンプは、他の型式に比較して軽量、構造が簡単で取り扱いが容易であるため、ガス製造所では多く採用されている。

二　円筒形LPG貯槽は、加圧式貯蔵法に分類され、比較的小容量の貯槽として最も経済的であるため広く使用されている。

ホ　エアフィン式気化器は、運転費が低廉でベースロード用として使用されるが、長時間運転すると空気中の水分が伝熱管の表面に氷となって付着し、連続運転時間に制約が生ずる。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,イ、ロ
"""製造設備の電気設備及び計装設備に関する次の記述のうち、いずれも正しいものの組合せはどれか。

イ　PID制御におけるD動作とは、P動作により生じた偏差を時間的に積分してこの値がゼロのなるよう修正するものである。

ロ　カスケード制御とは、あるプロセス量とそれ以外のプロセス量を、ある一定の比率に保つように制御する方式をいう。

ハ　安全増防爆構造とは、電気機械器具を構成する部分に発生する火花、アーク又は熱が、ガス又は蒸気に点火するおそれがないことが点火試験等により確認された構造のことである。

二　電気使用場所における使用電圧が低圧の電路の電線相互間及び電路と大地の間の絶縁抵抗は、３００Vを超える場合に０.４MΩ以上でなければならない。

ホ　電気事業法における事業用電気工作物に該当する電気設備を設置する者は、電気事業法に基づく保安規程の作成、電気主任技術者の選任などを行い、製造所における自主保安体制を確立しなければならない。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,二、ホ
"""都市ガスの熱量調整、燃焼性管理及び熱量測定に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　燃焼速度は、ガス組成、空気比等の条件により変化する値であり、どのガスでも組成に応じて、ある空気比のときに最大となる。この値を最大燃焼速度（MCP)という。

ロ　ウォッベ指数（WI)は、ガス機器ノズルの開度調整に必要な指数であり、ガスの総発熱量に比例、比重の平方根に反比例する。

ハ　ガスクロマトグラフの水素炎イオン化検出器（FID)は、水素炎中においてカラムで分離された有機化合物成分が燃焼するときに電極間に発生する電圧を検出する。

二　ガスクロマトグラフでは、クロマトグラムのそれぞれのピークの面積を、同一条件下で得られる混合標準ガス又は純ガスのピークの面積と比較し、各成分を定量する。

ホ　LPGを用いて増熱し熱量を調整する場合、LPGの燃焼速度は比較的速いため、WI=MCP図で、混合ガスの燃焼性の範囲を確認する。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,ハ、ホ
"""下記は、都市ガスの付臭方式の特徴をまとめたものである。（イ）～（ハ）に当てはまる語句の組合せとして最も適切なものはどれか。

付臭方式　　　　　　　　（イ）　　（ロ）　　（ハ）

適正な処理能力　　　　　　小　　　小～中　　中～大

混合付臭剤使用の適否　　 不適※　　   適　　　　適

建設費　　　　　　　　　　小　　　　中　　　　大

設置面積　　　　　　　　　中　　　　中　　　　大

　　　　　　　　　　　　※沸点が近い臭物質を混合した付臭剤はこの限りではない。""",（イ）滴下注入式　（ロ）蒸発式　（ハ）ポンプ注入式,（イ）滴下注入式　（ロ）ポンプ注入式　（ハ）蒸発式,（イ）蒸発式　（ロ）滴下注入式　（ハ）ポンプ注入式,（イ）蒸発式　（ロ）ポンプ注入式　（ハ）滴下注入式,（イ）ポンプ注入式　（ロ）滴下注入式　（ハ）蒸発式,,,,,（イ）蒸発式　（ロ）滴下注入式　（ハ）ポンプ注入式
"""製造設備の保安及び防災に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　電気設備を可燃性ガスの通ずる設備の付近に設置する場合は、その設置場所の状況及び当該可燃性ガスの種類に応じた防爆性能を有するものでなければならない。

ロ　ガス主任技術者は、原則として、保安統括者、保安管理者（保安管理者を置かない製造所等にあっては、保安主任者）又は保安係員に選ばれた者から選任される。

ハ、製造設備の運転及び監視に係る制御システムには、サイバー攻撃等からのリスクを判断した上で、適切なセキュリティ対策を講ずる。

二　停電等によりBOG圧縮機の停止時間が長くなると、LNG貯槽の内部圧力が上昇するので、内部圧力監視を強化し、必要に応じて放散処理設備による降圧の準備を行う。

ホ　台風接近時は、徐々に気圧が低下するため、事前にLNG貯槽の圧力を上げておく。""",イ、ハ,イ、二,ロ、二,ロ、ホ,ハ、ホ,,,,,ロ、ホ
"""製造設備の建設及び総業に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　レベル１地震動に対する耐震性能評価では、構造物の塑性変形能力を期待した設計法により、耐震上重要な部位に生ずる応答塑性率を超えないことを確認する。

ロ　LNGは貯蔵中に外部からの入熱によりBOGが常に発生するため、貯槽内のLNGの濃縮が進むが、その度合いは貯槽レベルにより異なる。

ハ　LNG受入れ時には大量のBOGが発生し、BOG圧縮機の負荷を上げるため、電力デマンドの管理が必要となる。

二　LNGサテライト基地における熱量管理は、出荷元のLNG熱量に依存しており、貯槽の保有数も限定されるため、貯槽内濃縮の管理が重要である。

ホ　ガス事業法の定めにより、製造所では熱量等についてｈ毎日１回以上、臭気濃度については毎月１回以上、供給ガスに特殊成分が含まれる場合はその特殊成分を毎月１回以上、それぞれ定められた方法で測定し、記録を残さなければならない。""",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,イ、ホ
"""製造設備の保全に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　ポンプ、圧縮機等の軸封部シールに用いられるメカニカルシールの漏れは、シートリングの摩耗の偏りによるものが多く、その場合にはシートリングの端面を加工する必要がある。

ロ　腐食性流体により金属表面にエロ―ジョンコロージョンが発生する場合、同じ液体による腐食と摩耗が単独に働いたときの作用の和よりも大きな損耗を与える。

ハ　溶接部分は、母材、熱影響部、溶接金属で硬度が変化し、その硬度が高い部分に集中して繰り返しひずみを受けることとなり疲労強度の低下につながる。

二　超音波厚み計は、送信用振動子から発せられた超音波を板の裏面で反射し、その波を受信用振動子が受け、送信から受信までの時間を板厚に換算するものである。

ホ　放射線透過試験（RT)は、欠陥の形状をフィルム上に投影された像として見ることができるが、欠陥形状の直観性に欠ける検査方法である。""",イ、ハ,イ、二,ロ、二,ロ、ホ,ハ、ホ,,,,,ハ、ホ
"""環境対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　排ガス再循環とは、燃焼排ガスの一部を燃焼用空気に混入して炉内に送り込み、CO2の発生の減少を図るものである。

ロ　すべての水域において、水素イオン濃度指数（pH）は常に規制される項目の一つであり、多くの水中生物、農作物にとって望ましい水のpHは、５.８～８.６である。

ハ　メタンを主成分とする天然ガスは、石炭や石油に比べ、分子中の炭素原子の割合が大きいため、燃焼時のCO２排出量が最も少ない化石燃料である。

二　カーボンニュートラルとは、温室効果ガスの排出量と吸収量を均衡させることを意味する。

ホ　e-methane（イーメタン）とは、グリーン水素等の非化石エネルギー源を原料として製造された合成メタンのことをいう。""",イ、ハ,イ、ホ,ロ、ハ,ロ、二,二、ホ,,,,,イ、ハ
"""口径１０ｃｍ、延長２００ｍの低圧導管において、起点圧力と末端圧力との差が０.４KPaのときガス流量は１２０㎥/ｈであった。口径２０ｃｍ、延長４００ｍの低圧導管において、起点圧力と末端圧力との差が０.１KPaのときのガス流量（㎥/ｈ）として、最も近い値はどれか。なお、いずれも同一のガスをながすものとし、到底さは高低差は考慮しないものとする。""",120,240,260,340,480,,,,,240
整圧器に関する次の記述のうち、誤っているものはどれか。,アキシャルフロー式（軸流式）整圧器の二次圧力の設定は、パイロットスプリングで調整する。,パイロット式整圧器は、一次圧力と二次圧力の差圧が一定以上確保されない場合、作動できなくなる。,大規模地区整圧器として使用する場合には、オフセット及びロックアップが小さく、動特性の優れた整圧器を選定する。,ハウスレギュレーターは、一般に不純物除去装置と圧力上昇防止装置を一体化している。,整圧器を並列に設置している場合、予備整圧器を分解点検したときは、点検完了後に常用整圧器を停止し、予備整圧器が正常に作動することを確認する。,,,,,大規模地区整圧器として使用する場合には、オフセット及びロックアップが小さく、動特性の優れた整圧器を選定する。
"""次のガスメーターのうち、推量式に分類されるものはいくつあるか。

イ　渦流式ガスメーター

ロ　超音波式ガスメーター

ハ　膜式ガスメーター

二　オリフィス式ガスメーター

ホ　回転式ガスメーター""",1,2,3,4,5,,,,,3
"""内圧を受ける鋼管の管厚ｔ（ｍｍ）を求める場合のガス事業法の管厚計算式について（イ）～（ハ）にあてはまる語句等の組合せとして、適切なものはどれか。なお、この鋼管の外径と内径の比は１.５以下とする。

管厚ｔ(ｍｍ）＝（内圧(Mpa）×（イ）(ｍｍ） / （ロ）×（ハ）(N/㎟）×継手効率 ＋ ０.８ × 内圧(MPa））＋ 腐れしろ(ｍｍ）　""",（イ）導管の内径　（ロ）２　（ハ）許容引張応力,（イ）導管の内径　（ロ）４　（ハ）引張強さ,（イ）導管の内径　（ロ）２　（ハ）引張強さ,（イ）導管の外径　（ロ）４　（ハ）引張強さ,（イ）導管の外径　（ロ）２　（ハ）許容引張応力,,,,,（イ）導管の外径　（ロ）２　（ハ）許容引張応力
導管の腐食に関する次の記述のうち、誤っているものはどれか。,レール漏れ電流のよる電食は、電気鉄道のレールを流れる電流の一部が地中に流出することに起因して発生する腐食である。,他防食施設からの干渉による電食は、近接する埋設導管に他防食施設から防食電流の一部が流入し、流出部において発生する腐食である。,通気性の異なる土壌にまたがって埋設されている導管では、通気性の悪い部分をアノードとするマクロセルが形成され腐食が生じることがある。,コンクリート中と土壌中をまたがって埋設されている導管では、コンクリート部分をアノード、土壌部分をカソードとするマクロセルが形成される。,異なる２種の金属が土壌中で電気的に接続されると、各々の金属の自然電位の差によりマクロセルが形成されて、自然電位がマイナス側の金属が腐食する。,,,,,コンクリート中と土壌中をまたがって埋設されている導管では、コンクリート部分をアノード、土壌部分をカソードとするマクロセルが形成される。
"""導管の工事に関する次の記述のうち、誤っているものはいくつあるか。

イ　外径８０ｍｍ以上の低圧本支管を道路に埋設する際に、管の表面に２ｍの間隔で占用物件の名称、管理者、埋設年、ガスの圧力をテープで明示した。

ロ　屋内露出部の横引配管にフレキ管を使用し、３ｍごとに支持固定した。

ハ　漏えいしたガスが滞留するおそれのあるピット内に配管したので、点検口を設けた。

二　防火区画を貫通する内管を施工する際に、壁との隙間をモルタルで埋めた。

ホ　耐圧試験を最高使用圧力の１.５倍以上の圧力で、不活性ガスを用いて行った。""",1,2,3,4,5,,,,,1
導管の溶接欠陥に関する次の記述のうち、誤っているものはどれか。,ブローホールとは、溶接金属内に残留したガスのため空洞が生じた状態をいう。,融合不良とは、溶接金属と母材又は溶接金属同士が溶着していない状態をいう。,スラグ巻込みとは、開先の一部がそのまま残った状態をいう。,溶込み不良とは、開先の一部がそのまま残った状態をいう。,クレーターとは、表面における溶接金属と母材の境界の凹みをいう。,,,,,クレーターとは、表面における溶接金属と母材の境界の凹みをいう。
"""導管の維持管理に関する次の記述のうち、誤っているものはいくつあるか。

イ　半導体式ガス検知器は、半導体の電導度が雰囲気ガスの吸着によって変化することを利用したものである。

ロ　本支管への浸水による供給支障の際に、管内から採取された水が水道水か否かを判別するため、水道事業者に緊急調査を依頼した。

ハ　低圧導管の管体に腐食孔が発生したので、樹脂ライニング系工法による恒久修理を行った。

二　中圧導管の管体に発生した亀裂からの漏えいを修理するために、鋼製修理バンド工法を適用した。

ホ　需要家等からのガス漏えい等の通報に対する出動は、その内容に応じて一般出動、緊急出動及び特別出動に区分する。""",1,2,3,4,5,,,,,1
地震対策に関する次の記述のうち、誤っているものはどれか。,中・低圧導管の地盤変位吸収能力を実験により求める場合、配管系に漏えいが生じるときの地盤変位量を地盤変異吸収能力とする。,"特殊地形地区における中圧導管では、非裏波溶接鋼管の耐震性向上対策として、反転シール工法が適用できる。
",供給停止判断のため、SI値又は最大速度値の計測が可能な地震計を統合ブロックに１台以上設置する必要がある。,第１次緊急停止判断は、二次災害防止を最優先として、巡回点検等により経時的に得られる被害情報と緊急時対応能力等に応じて実施する。,供給継続地区の需要家等からのガス漏えい通報に対しては、供給停止地区に優先して迅速かつ適切に対応し、二次災害防止に必要な措置を講ずる。,,,,,第１次緊急停止判断は、二次災害防止を最優先として、巡回点検等により経時的に得られる被害情報と緊急時対応能力等に応じて実施する。
ガスの燃焼及び伝熱に関する次の記述のうち、誤っているものはどれか。,ガスの燃焼方式は、赤火燃焼式やブンゼン燃焼式等があり、ガスと空気が混合する場所や一次空気量によって大別される。,実際のガス機器では、理論空気量だけでガスを完全燃焼させることはできず、２０～４０％の過剰空気が必要である。,濃淡燃焼バーナーは、ブンゼン式バーナーとセミブンゼン式バーナーを交互に配置した構造となっている。,ブンゼン燃焼式の外炎では、内炎で発生した中間生成物が二次空気と接触することによって反応が進む。,伝熱の一形態である対流は、流体の運動により熱が移動する現象である。,,,,,濃淡燃焼バーナーは、ブンゼン式バーナーとセミブンゼン式バーナーを交互に配置した構造となっている。
ガスの燃焼に関する次の記述のうち、誤っているのはどれか。,ブンゼンバーナーでは、インプットの高い範囲で燃焼させて場合、一次空気量を上げるとリフティングが発生し、下げると不完全燃焼が発生するという燃焼特性を有する。,火移り不良は、一部の炎口のつまり等で炎口と炎口の間隔が開きすぎている時にも発生する場合がある。,イエローチップの炎でガス機器を使用していると、すすが熱交換器等に付着して不完全燃焼の原因となるおそれがある。,ブンゼンバーナーでは、ガスの組成変化によりウォッベ指数が小さくなると、不完全燃焼が発生するおそれがある。,ブンゼンバーナーでは、バーナー部分が高温になりそこを通る混合ガスの温度が極端に上昇すると、フラッシュバックが発生する場合がある。,,,,,ブンゼンバーナーでは、ガスの組成変化によりウォッベ指数が小さくなると、不完全燃焼が発生するおそれがある。
"""家庭用ガス温水機器に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　自己診断機能には、給排気通路の閉そく状態ではファンの風量が少なくなり、ファンモーターに流れる電流値が小さくなる特徴を利用する方法がある。

ロ　燃焼用の空気を屋内からとり、燃焼排ガスを排気筒で屋外に排出する方式のふろがまをBF式ふろがまという。

ハ　Q機能を搭載した瞬間湯沸器では、冷水サンドイッチ現象を緩和し、安定した湯温を得ることができる。

二　元止め式瞬間湯沸器は、湯を使用する場所に取り付けられ、湯沸器の出湯管から直接湯を使う機能である。

ホ　給湯能力が２０号の瞬間湯沸器では、１０℃から４０℃に昇温させたお湯を毎分２０L供給できる。""",イ、ハ,イ、二,ロ、二,ロ、ホ,ハ、ホ,,,,,ロ、ホ
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,こんろに装備される中火点火機能は、点火時の着衣着火火災を防止するためのものである。,オーブンは、庫内温度が調整でき、高温（２５０℃～３００℃）の熱風を循環させて、短時間に多量の調理ができる。,ファンヒーターは、転倒したり強い衝撃が加わったとき、ガスを遮断し火災を防止する転倒時安全装置を搭載している。,FF式暖房機の排気筒外れ検知装置には、微小電流導通検知の方法が用いられている。,回転式ドラム乾燥機は、乾燥センサーに接触した衣類の温度を測定して、湿り具合を判断している。,,,,,回転式ドラム乾燥機は、乾燥センサーに接触した衣類の温度を測定して、湿り具合を判断している。
業務用ガス機器及びコージェネレーションシステム（CGS)に関する次の記述のうち、誤っているものはどれか。,業務用厨房に設置される排気ダクト接続型の半密閉式瞬間湯沸器には、一般的に排気温度センサー、排気あふれセンサー及びCOセンサーが搭載されている。,パルス燃焼式フライヤーは浸管式の一種で、ガスの燃焼にパルス燃焼を採用しており、熱交交換器部分の面積を大幅に小さくすることができる。,遠赤外線暖房に利用される遠赤外線は、途中の空気を暖めることなく直接身体や床、壁等に浸透し暖める性質を持っている。,都市ガスを用いる代表的なCGSには、ガスエンジン式、ガスタービン式及び燃料電池式がある。,固体高分子形燃料電池（PEFC)は、作動温度が約７００℃と高く、起動や停止に対する耐久性が低いため、原則として連続運転になる。,,,,,固体高分子形燃料電池（PEFC)は、作動温度が約７００℃と高く、起動や停止に対する耐久性が低いため、原則として連続運転になる。
換気及び一酸化炭素（CO)に関する次の記述のうち、誤っているものはどれか。,自然換気における空気の流れを起こす力の種類には、風圧を利用したものと、空気の温度差によって生じる浮力をりようしたものとがある。,ガスこんろ上部の排気フードは、こんろ上面から１０００ｍｍ以上に設置されなければならない。,高層住宅等では、外風圧の影響により換気風量が大きく変動するため、シロッコファン等の高静圧な換気扇を使う必要がある。,自然換気回数は、一般的に次式で表される。　N=Q/V 　n:自然換気回数(回/h)   Q:自然換気量(㎥/h)   V:室の容積(㎥),都市ガスの燃焼に必要な酸素の不足等により、燃焼反応が集結しないと、反応途中の物質としてCOが発生する。,,,,,ガスこんろ上部の排気フードは、こんろ上面から１０００ｍｍ以上に設置されなければならない。
ガス機器の給排気に関する次の記述のうち、誤っているものはどれか。,合計インプットが６KWを超える開放型ガス機器を調理室以外の部屋に設置する場合、その部屋には機械換気を設ける必要がある。,CF式機器を設置する際、現場状況に合わせて一次排気筒及び二次排気筒ともに適切な長さに現場で加工調整する必要がある。,BF-W式機器の設置に際しては、給排気部が壁を貫通する箇所に隙間があってはならない。,FF式機器には、BF式機器と同様、外壁式、チャンバー式及びダクト式がある。,既存のBF式機器の給排気筒トップ穴を利用して、壁貫通部に設置するタイプのRF式機器がある。,,,,,CF式機器を設置する際、現場状況に合わせて一次排気筒及び二次排気筒ともに適切な長さに現場で加工調整する必要がある。
ガス機器の安全装置、点火装置及び制御装置に関する次の記述のうち、誤っているものはどれか。,調理油過熱防止装置は、現在販売されている２口以上の家庭用こんろの全口に搭載することが義務化されている。,不完全燃焼防止装置に使用されているCOセンサーには、固体電解質式、接触燃焼式及び半導体器がある。,温水機器の空だき安全装置には、水位スイッチ式や水流スイッチ式等がある。,瞬時点火装置では、熱電対の起電力が十分に発生するまでの間、コンデンサーの放電電流によりガス弁を開状態に保持している。,比例電磁弁は、コイルに流れる電流による電磁力により弁を制御し、連続的にガス量を調節するものである。,,,,,温水機器の空だき安全装置には、水位スイッチ式や水流スイッチ式等がある。
ガス栓、接続具及び警報器に関する次の記述のうち、誤っているものはどれか。,ガスソフトコードをコンセント口のガス栓に接続するためには、ガス栓用プラグを用いる。,ヒューズガス栓のヒューズボールがガスを遮断する流量を、ヒューズ作動流量といい、ヒューズガス栓本体に表示されている。,ガス小型湯沸器は、強化ｶﾞｽホースで可とう管ガス栓と接続できる。,空気より軽い都市ガスを検知するガス警報器は、ガス機器から水平距離で８ｍ以内の同一の室内に設置しなければならない。,業務用換気警報器は、人体に一酸化炭素の悪影響が及ぶおそれのある環境に達した場合にのみ警報を発するという警報ロジックを採用している。,,,,,ガスソフトコードをコンセント口のガス栓に接続するためには、ガス栓用プラグを用いる。
"”法令で規定されているガス事業法の目的、用語の定義等に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
（イ）この法律は、ガス事業の運営を調整することによって、ガス事業者の利益を保護し、及びガス事業の健全な発達を図るとともに、ガス工作物の工事、維持及び運用並びにガス用品の製造及び販売を規制することによって、公共の安全を確保し、あわせて公害の防止を図ることを目的とする。

（ロ）「ガス事業」とは、ガス小売事業、一般ガス導管事業、特定ガス導管事業及びガス製造事業をいう。
 
（ハ）ガス小売事業を営もうとする者は、経済産業大臣の許可を受けなければならない。

（二）「液化ガス」とは、常用の温度において、圧力が0.2MPa以上となる液化ガスであって、現にその圧力が0.2MPa以上であるもの又は圧力が0.2MPaとなる場合の温度が35°C以下である液化ガスをいう。
 
（ホ）高圧ガス保安法中高圧ガスの製造又は販売の事業及び高圧ガスの製造又は販売のための施設に関する規定は、ガス事業及びガス工作物については、適用しない。”",イ、ロ,イ、ハ,ロ、ホ,ハ、ニ,ニ、ホ,,,,,イ、ハ
"""法令で規定されているガス小売事業者の業務等に関する次の記述のうち、正しいものはいくつあるか。

イ　ガス小売事業者は、正当な理由がある場合を除き、その小売供給の相手方の当該小売供給に係るガスの需要に応ずるために必要な供給能力を確保しなければならない。

ロ　ガス小売事業者は、小売供給を受けようとする者（ガス事業者である者を除く。）と小売供給契約の締結をしようとするときは、経済産業省令で定めるところにより、当該小売供給に係る料金その他の供給条件について、その者に説明しなければならない。

ハ　ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスの熱量、圧力及び燃焼性を測定し、その結果を記録し、これを保存しなければならない。

二　ガス小売事業者は、経済産業省令で定めるところにより、 毎年度、当該年度以降経済産業省令で定める期間におけるガスの供給並びにガス工作物の設置及び運用についての計画を作成し、当該年度の開始前に（ガス小売事業者となった日を含む年度にあっては、ガス小売 事業者となった後遅滞なく）、経済産業大臣に届け出なければならない。

ホ　ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスの成分のうち、人体に危害を及ぼし、又は物件に損傷を与えるおそれがあるものの量が経済産業省令で定める数量を超えていないかどうかを検査し、その量を記録し、これを保存しなければならない。"" ",1,2,3,4,5,,,,,5
法令で規定されているガス工作物に関する次の記述のうち、正しいものはどれか。,経済産業大臣は、公共の利益の確保のため緊急の必要があると認めるときは、ガス小売事 業者に対し、そのガス工作物を移転し、若しくはその使用を一時停止すべきことを命ずることができる。,ガス小売事業の用に供するガス工作物のうちガス小売事業者以外の者が所有し、又は占有するガス工作物についてガス小売事業者が、経済産業省令で定める技術上の基準に適合す るように維持するため必要な措置を講じようとするときは、当該ガス工作物の所有者又は占有者はその措置の実施に協力するよう努めなければならない。,ガス小売事業者は、ガス工作物の工事、維持及び運用に関する保安を確保するため、経済 産業省令で定めるところにより、保安規程を定め、事業の開始前に経済産業大臣の許可を受けなければならない。,保安規程では、保安業務監督者が旅行、疾病その他事故によってその職務を行うことができない場合に、その職務を代行する者に関することを定めなければならない。,保安規程では、消費機器に関する周知、 調査等の実施の方法に関することを定めなければならない。,,,,,ガス小売事業の用に供するガス工作物のうちガス小売事業者以外の者が所有し、又は占有するガス工作物についてガス小売事業者が、経済産業省令で定める技術上の基準に適合す るように維持するため必要な措置を講じようとするときは、当該ガス工作物の所有者又は占有者はその措置の実施に協力するよう努めなければならない。
"""次のガス事故のうち、ガス事故速報及びガス事故詳報を報告することが法令で規定されているものはいくつあるか。
ただし、台風、 高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものを除く

イ　ガス工作物（ガス栓を除く。）を操作することにより人が負傷した事故

ロ　供給支障戸数が100の供給支障事故（保安閉栓を除く。）

ハ　製造支障時間が10時間の製造支障事故

二　消費機器の使用に伴い人が死亡した事故

ホ　ガス栓の欠陥によりガス栓から漏えいしたガスに引火することで発生した物損事故""",1,2,3,4,5,,,,,5
法令で規定されているガス主任技術者に関する次の記述のうち、正しいものはいくつあるか。,イ　ガス主任技術者は、経済産業省令で定めるところにより、ガス主任技術者免状の交付を受けている者であって、経済産業省令で定める実務の経験を有するもののうちから、ガス事業者が選任しなければならない。,ロ　ガス製造事業において、経済産業省令で定める実務の経験は、製造又は供給の用に供するガス工作物の工事、維持又は運用に関する業務に通算して1年以上従事したこととする。,ハ　ガス製造事業者は、ガス主任技術者を解任するときは、事前にその旨を経済産業大臣に届け出なければならない。,二　ガス製造事業の用に供するガス工作物の工事、維持又は運用に従事する者は、ガス主任技術者がその保安のためにする指示に従わなければならない。,ホ　経済産業大臣は、ガス主任技術者がこの法律若しくはこの法律に基づく命令若しくはこれらに基づく処分に違反したときは、ガス事業者に対し、ガス主任技術者の解任を命ずることができる。,,,,,ハ　ガス製造事業者は、ガス主任技術者を解任するときは、事前にその旨を経済産業大臣に届け出なければならない。
