問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
法令で規定されている工事計画及び検査に関する次の記述のうち、誤っているものはどれか。,一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物の設置又は変更の工事であって、経済産業省令で定めるものをしようとするときは、その工事の計画を経済産業 大臣に届け出なければならない。ただし、ガス工作物が滅失し、若しくは損壊した場合叉 は災害その他非常の場合において、やむを得ない一時的な工事としてするときは、この限りでない。,一般ガス導管事業者は、経済産業省令で定める工事の計画を変更しようとするときは、 経済産業大臣に届け出なければならない。 ただし、その変更が経済産業省令で定める軽微 なものであるときは、この限りでない。 ,経済産業大臣は、工事の計画が経済産業省令で定める技術上の基準に適合していないと 認めるときは、一般ガス導管事業者に対し、その届出が提出された日から30日以内に限り、その工事の計画を変更し、又は廃止すべきことを命ずることができる。,一般ガス導管事業者は、 規定による届出をした設置又は変更の工事をするガス工作物で あって、経済産業省令で定めるものの工事について自主検査を行い、その結果が経済産業 大臣の登録を受けた者が行う検査に合格した後でなければ、これを使用してはならない。ただし、経済産業省令で定める場合は、この限りではない。,一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物であって経済産業省令で定めるものについては、経済産業省令で定めるところにより、定期に、自主検査を行い、その検査記録を作成し、これを保存しなければならない。,,,,,経済産業大臣は、工事の計画が経済産業省令で定める技術上の基準に適合していないと 認めるときは、一般ガス導管事業者に対し、その届出が提出された日から30日以内に限り、その工事の計画を変更し、又は廃止すべきことを命ずることができる。
"""技術基準で規定されているガス工作物に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
イ　特定ガス発生設備に係る容器であって液化ガスを通ずるものは、その製造所の敷地境界から保安物件に対し告示で定める距離を有しなければならない。

ロ　製造所に設置するガス若しくは液化ガスを通するガス工作物には、そのガスの種類に応じて、適切な防消火設備を適切な箇所に設けなければならない。

ハ　製造所には、ガス又は液化ガスを通ずるガス工作物から漏えいしたガスが滞留するおそれのある製造所内の適当な場所に、当該ガスの漏えいを適切に検知し、かつ、警報する設備を設けなければならない。

二　製造所に設置するガス若しくは液化ガスを通ずるガス工作物の付近に設置する電気設備は、その設置場所の状況及びガスの種類に応じた防爆性能を有するものでなければならない。

ホ　液化ガスを通ずるガス工作物には、当該ガス工作物に生ずる静電気を除去する措置を講じなければならない。ただし、当該静電気によりガスに引火するおそれがない場合にあっては、この限りでない。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,イ、ロ
"""技術基準で「ガス又は液化ガスによる圧力を受ける部分を溶接する場合は、適切な機械 試験等により適切な溶接施工方法等であることをあらかじめ確認したものによらなければならない。」と規定されているガス工作物は、次のうちいくつあるか。

イ　容器であって、最高使用圧力が0.2MPa以上のガスを通ずるもの（内容積が0.04m以上又は内径が200mm以上で、長さが1000mm以上のものに限る。）

ロ　容器であって、液化ガスを通ずるもの（最高使用圧力をMPaで表した数値と内容積をm2で 表した数値との積が0.004以下のものを除く。）

ハ　内径が150mm以上の配管であって、最高使用圧力が中圧のガスを通ずるもの

二　内径が150mm以上の配管であって、液化ガスを通ずるもの

ホ　導管であって、最高使用圧力が高圧のガスを通ずるもの""",1,2,3,4,5,,,,,4
技術基準で規定されているガス工作物に関する次の記述のうち、誤っているものはどれか。,最高使用圧力が高圧のガス発生設備であって、過圧が生ずるおそれのあるものには、その圧力を逃すために適切な安全弁を設けなければならない。この場合において、当該安全弁は、作動時に安全弁から吹き出されるガスによる障害が生じないよう施設しなければならない。,ガスホルダーには、ガスを通する設備の損傷を防止するため使用の状態を計測又は確認できる適切な装置を設けなければならない。,ガスホルダーには、ガスを通する設備の損傷に至るおそれのある状態を検知し警報する適切な装置を設けなければならない。,製造設備を安全に停止させるのに必要な装置その他の製造所及び供給所の保安上重要な設備には、停電等により当該設備の機能が失われることのないよう適切な措置を講じなければならない。,ガスホルダーのガスを送り出し、又は受け入れるために用いられる配管には、ガスが漏えいした場合の災害の発生を防止するため、漏えいしたガスを速やかに回収することができる適切な装置を適切な箇所に設けなければならない。,,,,,ガスホルダーのガスを送り出し、又は受け入れるために用いられる配管には、ガスが漏えいした場合の災害の発生を防止するため、漏えいしたガスを速やかに回収することができる適切な装置を適切な箇所に設けなければならない。
"""技術基準で規定されているガス工作物に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　製造設備（ガスホルダー、液化ガス用貯槽及び特定ガス発生設備を除く。）には、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合にガス又は液化ガスの流出及び流入を速やかに遮断することができる適切な装置を適切な箇所に設けなければならない。

ロ　移動式ガス発生設備は、ガス又は液化ガス（不活性のものを除く。)が漏えいした場合の火災等の発生を防止するため、適切な場所に設置し、容易に移動又は転倒しないように適切な 措置が講じられていなければならない。

ハ　容器に附属する気化装置内においてガスを発生させる特定ガス発生設備であって当該気化装置を電源によって操作するものは、自家発電機その他の操作用電源が停止した際にガスの供給を遮断するための装置を設けなければならない。

二　ガスの通ずる部分に直接液体又は気体を送入する装置を有する製造設備（移動式ガス発生 設備を含む。）は、送入部分を通じてガスが逆流することによる設備の損傷又はガスの大気への放出を防止するため逆流が生じない構造のものでなければならない。

ホ　気化装置又はそれに接続される配管等には、気化装置からガスの流出を防止する措置を講じなければならない。 ただし、気化装置からのガスの流出を考慮した設計である場合は、この限りでない。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,ハ、ホ
技術基準で規定されているガス工作物に関する次の記述のうち、誤っているものはどれか。,水のたまるおそれのある導管には、適切な勾配を設けなければならない。,導管には、設置された状況により腐食を生するおそれがある場合にあっては、当該導管の腐食を防止するための適切な措置を講じなければならない。,道路に埋設される本支管（最高使用圧力が5kPa以上のポリエチレン管に限る。）には、掘削等による損傷を防止するための適切な措置を講じなければならない。,最高使用圧力が低圧の本支管であって、特定地下街等へのガスの供給に係るものには、当該特定地下街等において災害が発生した場合に、当該特定地下街等へのガスの供給を、当該災害により妨げられない箇所において、容易に遮断することができる適切な措置を講じなければならない。,ガス事業者がガスの使用者との取引のために使用するガスメーター（使用最大流量が毎時 16m2以下使用最大圧力が4kPa以下及び口径250mm以下のものに限る。）は、ガスが流入している状態において、災害の発生のおそれのある大きさの地震動、過大なガスの流量又は異常なガス圧力の低下を検知した場合に、ガスを速やかに遮断する機能を有するものでなければならない。,,,,,水のたまるおそれのある導管には、適切な勾配を設けなければならない。
"""技術基準で規定されている導管に関する次の記述のうち、誤っているものはいくつあるか。
ただし、イ、口については、漏えい検査を行う区間に漏えい検知装置が設置されておらず、検査にあたって導管等が設置されている場所に立ち入ることができるものとする。 

イ　道路に埋設されている導管からガス栓までの間に絶縁措置が講じられており当該絶縁措置が講じられた部分からガス栓までの間でプラスチックにて被覆された部分は、埋設の日以後6年に1回以上、適切な方法により検査を行い、 漏えいが認められなかったものでなければならない。

ロ　道路に埋設されている導管からガス栓までの間に設置されているポリエチレン管は、埋設 の日以後6年に1回以上、適切な方法により検査を行い、漏えいが認められなかったものでなければならない。

ハ　最高使用圧力が高圧の導管は、建物の内部又は基礎面下（当該建物がガスの供給に係るものを除く。）に設置してはならない。ただし、ガスが滞留するおそれがない場所に設置されるものは除く。

二　特定ガス発生設備により発生させたガスを供給するための導管を地盤面上に設置する場合においてその周辺に危害を及ぼすおそれのあるときは、その見やすい箇所に当該導管によ り供給するガスの圧力、当該導管に異常を認めたときの連絡先その他必要な事項を明瞭に記載した危険標識を設けること。

ホ　本導管を共同溝に設置する場合は、ガス漏れにより当該共同溝及び当該共同溝に設置された他の物件の構造又は管理に支障を及ぼすことがないよう導管に適切な措置を講じ、かつ、適切な措置が講じられた共同溝内に設置しなければならない。""",1,2,3,4,5,,,,,3
"""技術基準で規定されている整圧器に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）浸水のおそれのある地下に設置する整圧器には、浸水を防止するための措置を講じなければならない。

（ロ）ガス中の水分の凍結により整圧機能を損なうおそれのある整圧器には、凍結を防止するための措置を講じなければならない。

（ハ）最高使用圧力が中圧の整圧器には、ガスの漏えいによる火災等の発生を防止するための適切な措置を講じなければならない。

（二）一の使用者にガスを供給するための整圧器には、入口に不純物を除去する装置を設けるとともに、ガスの圧力が異常に上昇することを防止する装置を設けなければならない。

（ホ）整圧器の制御用配管、補助整圧器その他の附属設備は、地震に対し耐えるように支持されていなければならない。""",イ、ロ,イ、ハ,ロ、ホ,ハ、二,二、ホ,,,,,ハ、二
法令で規定されているガス用品及び「特定ガス消費機器の設置工事の監督に関する法律」（以下「特監法」という。）に関する次の記述のうち、誤っているものはどれか。,「ガス用品」とは、主として一般消費者等がガスを消費する場合に用いられる機械器具又は材料（液化石油ガス器具等を除く。）であって政令で定めるものをいう。,「特定ガス用品」とは、構造、使用条件、使用状況等からみて特にガスによる災害の発生のおそれが多いと認められるガス用品であって、開放燃焼式のガス瞬間湯沸器等がある。,特監法の目的は、 特定ガス消費機器の設置又は変更の工事の欠陥に係るガスによる災害の発生を防止するため、これらの工事の事業を行う者の工事の監督に関する義務等を定めることである。,「特定工事」とは、特定ガス消費機器の設置又は変更の工事（経済産業省令で定める軽微なものを除く。）をいう。,経済産業大臣が経済産業省令で定めるところにより行う特定工事に必要な知識及び技能に関する講習の課程を修了した者、及び液化石油ガス設備士は、ガス消費機器設置工事監督者の有資格者である。,,,,,「特定ガス用品」とは、構造、使用条件、使用状況等からみて特にガスによる災害の発生のおそれが多いと認められるガス用品であって、開放燃焼式のガス瞬間湯沸器等がある。
"""法令で規定されている消費機器に関する調査、保安業務規程及びガス事業者間の連携協力に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）ガス小売事業者は、調査の結果、消費機器が経済産業省令で定める技術上の基準に適合していないと認めるときは、速やかにその使用を禁止しなければならない。

（ロ）ガス小売事業者は、保安業務規程を変更したときは、遅滞なく、変更した事項を経済産業大臣に届け出なければならない。

（ハ）経済産業大臣は、保安業務の適正な実施を確保するため必要があると認めるときは、保安統括者に対し、保安業務規程を変更すべきことを命ずることができる。

（二）ガス小売事業者及びその従業者は、保安業務規程を守らなければならない。 

（ホ）ガス事業者は、公共の安全の維持又は災害の発生の防止に関し、相互に連携を図りながら協力しなければならない。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,イ、ハ
"""法令で規定されている消費機器の技術上の基準に関する次の記述のうち、（イ）〜（ホ）にあてはまる数値及び語句の組合せとして最も適切なものはどれか。

次に掲げる燃焼器（屋内に設置するものに限り、（イ） のものを除く。）には当該燃燒器に接続して排気筒を設けること。ただし、当該燃焼器の構造上その他の理由によりこれによ ることが困難な場合において、当該消費機器のための、 （口） を設けるときは、この限りでない。

ガス調理機器（ガスの消費量が12kWを超えるもの）
（ハ） （暖房兼用のものを含み、ガスの消費量が12kWを超えるもの）
（二） （暖房兼用のものを含み、 ガスの消費量が7kWを超えるもの）
ガス常圧貯蔵湯沸器（ガスの消費量が7kWを超えるもの）
ガスふろがま 
ガスストーブ（ガスの消費量が7kWを超えるもの）
ガス衣類乾燥機（ガスの消費量が（ホ）kWを超えるもの）""
",・密閉燃燒式　　・専用の排気口　　・ガス貯湯湯沸器　　・ガス瞬間湯沸器　　・７,・密閉燃燒式　　・排気フード　　・ガス貯湯湯沸器　　・ガス瞬間湯沸器　　・１２,・密閉燃燒式　　・排気フード　　・ガス瞬間湯沸器　　・ガス貯湯湯沸器　　・１２,"・強制排氣式　　・排気フード　　・ガス貯湯湯沸器　　・ガス瞬間湯沸器　　・７
",・強制排氣式　　・専用の排気口　　・ガス瞬間湯沸器　　・ガス貯湯湯沸器　　・７,,,,,・密閉燃燒式　　・排気フード　　・ガス瞬間湯沸器　　・ガス貯湯湯沸器　　・１２
ボンベから、流量6.72㎥/hで30分間気体を使用すると、質量が2.4kg減少した。ボンベに入っていた気体として、次のうち、最も適切なものはどれか。ただし、気体は理想気体とし、流量は標準状態（温度0℃、圧力101325Pa）における値とする。,水素,メタン,エタン,プロパン,酸素,,,,,メタン
"""温度27℃、圧力240kPaのメタンの体積が415Lであるとき、このメタンの質量(kg)として、最も近い値はどれか。
ただし、メタンは理想気体とし、気体定数R=8.3J/ (mol・K)とする。""",0.064,0.32,0.64,3.2,6.4,,,,,0.64
実在気体に関する次の記述のうち、誤っているものはどれか。,二酸化炭素及び窒素は、常温で圧力を高くするのみで液化することができる。,臨界温度より高い温度では、圧力をどれほど高くしても気体を液化することはできない。,臨界点の近傍では、臨界タンパク光と呼ばれる特異な現象が見られる。,臨界温度及び臨界圧力を超えた温度及び圧力のガスを、超臨界ガスという。,ファン・デルワールスの状態式は、分子間引力と気体分子の体積を考慮して理想気体の状態方程式を補正した式である。,,,,,二酸化炭素及び窒素は、常温で圧力を高くするのみで液化することができる。
"""容積一定の容器に入れた温度20℃の窒素1.0kmo1を、120℃になるまで加熱した。このとき 窒素に加えた熱量(kJ)として、最も近い値はどれか。
ただし、加えた熱はすべて窒素の温度 上昇に用いられるものとし、窒素の定積比熱容量 Cy=0.75kJ/(kg・K)とする。""",500,1100,2100,2500,3200,,,,,2100
気体の熱力学に関する次の記述のうち、誤っているものはどれか。,モル熱容量とは、物質1molの温度を1K上昇させるのに必要な熱量である。,理想気体では、定圧条件において温度を上昇させるとエントロピーは減少する。,エントロピーは状態量であり、系がある状態から別の状態に移るときのエントロピー変化は、変化前後の状態のみで決まる。,ジュール・トムソン膨張では、系のエンタルピーは一定に保たれる。,定圧モル熱容量と定積モル熱容量の比を比熱比という。,,,,,理想気体では、定圧条件において温度を上昇させるとエントロピーは減少する。
化学反応に関する次の記述のうち、誤っているものはどれか。,触媒は反応速度を増加させる機能を持つが、反応の進行する方向を変えることはない。,不均一触媒反応のうち、固体触媒による反応を接触反応という。,還元反応とは、対象とする物質が電子を受け取る化学反応である。,一次反応の反応速度は、反応物質の濃度に反比例する。,反応熱は、反応の始状態と終状態のみで決まり、反応の経路によらない。,,,,,一次反応の反応速度は、反応物質の濃度に反比例する。
一次反応において、反応物質の濃度が初期濃度の12.5%になるまでに要する時間は、初期濃度の50%になるまでに要する時間の何倍になるか。次のうち、最も近い値はどれか。,1,2,3,4,5,,,,,3
プロパン1㎥を空気比1.2で完全燃焼させるのに必要な空気量 （㎥）として、 最も近い値はどれか。ただし、気体は標準状態（温度0°C、圧力101325Pa）とし、 空気中の窒素と酸素の体積比は4:1とする。,6,12,20,25,30,,,,,30
理論空気比の空気によって完全燃焼させた。このとき発生する湿り燃焼ガス中の 水蒸気の濃度 （vo1%）として、最も近い値ほどれか。ただし、空気中の窒素と酸素の体積比は4:1とする。,18,20,25,33,67,,,,,18
断面積10cmの直円管内に流体を平均流速2.1m/s で流したときの質量流量（kg/s）として、最も近い値はどれか。ただし、流体の密度は420kg/m2とする。,0.5,0.9,5,9,50,,,,,0.9
直円管内の完全に発達した流れに関する次の記述のうち、最も不適切なものはどれか。,層流では、平均流速は中心での最大流速の半分に等しい。,層流における管内の圧力損失は、平均流速に比例する。,層流から流速を上げていくと、 乱流へ遷移する。,乱流における管摩擦係数は、管壁面の粗さに依存する。,乱流の速度分布は放物線であり、管中心で最大速度になる。,,,,,乱流の速度分布は放物線であり、管中心で最大速度になる。
平均熱伝導率 2W/（m・K）の平板の耐火レンガの高温側の表面温度が1300℃、低温側の表面温度が900℃、 熱流束が4kW/m2であるとき、耐火レンガの厚さ（cm）として、最も近い値はどれか。,5,10,13,15,20,,,,,20
熱交換器において、高温流体の入口温度は150℃、出口温度は45℃であった。また低温流体の入口温度は30℃、出口温度は120℃であった。このときの高温流体の温度効率(%)として、最も近い値はどれか。,58,70,80,88,94,,,,,88
"""構造物の許容応力の判定の際には、材料の種類や使用状況に応じて適切な基準強さを選択することが重要である。（イ）〜（ハ）のそれぞれの使用状況における基準強さの組合せとして、最も適切なものはどれか。

(イ)繰り返し応力を受けるとき

(口)延性材料が常温で静荷重を受けるとき

(ハ)高温で静荷重を受けるとき""",破壊強さ 　　疲労限度　　降伏点又は耐力,破壊強さ　　降伏点又は耐力　　クリープ限度又はクリープ破壊応力,疲労限度　　破壊強さ　　降伏点又は耐力,疲労限度　　降伏点又は耐力　　クリープ限度又は クリープ破壊力,クリープ限度又はクリーブ破壊応力　　降伏点又は耐力　　破壊強さ,,,,,疲労限度　　降伏点又は耐力　　クリープ限度又は クリープ破壊力
クリープに関する次の記述のうち、誤っているものはどれか。,クリープは応力が小さいほど顕著に現れる。,クリープが起こると、材料は引張強さよりも小さな応力で破壊する。,クリープは温度が高いほど顕著に現れる。,高分子材料のクリープは常温でも起きる。,炭素鋼にモリブデンを添加すると、高温クリープ強さを高める効果がある。,,,,,クリープは応力が小さいほど顕著に現れる。
"""都市ガスの原料に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）メタンは、すべての温度領域において、常温の空気よりも軽い。

（ロ）液撃は、弁の閉鎖やポンプの急停止等の急激な変化によって、配管内流体の運動エネルギの一部が圧力エネルギーに変換され、流体の圧力が低下することにより起こる。

（ハ）LNGは、貯蔵中に外部からの入熱により沸点の低いメタンを主成分とするボイルオフガス（BOG）が発生するため、被密度が高くなる。

（二）LNGローリーやLNGコンテナは、真空断熱方式の二重殻式横置円筒型の超低温容器を有し、道路輸送や鉄道輸送が可能である。

（ホ）LNGは水と反応して氷に似た水和物を生成するため、配管の閉そく等のトラブルを起こさないよう、LNGを取り扱う前に機器内を十分乾燥することが必要である。""",イ、ロ,イ、ハ,口、二,ハ、ホ,二、ホ,,,,,イ、ロ
"""都市ガスの製造設備に関する次の記述のうち、いずれも正しいものの組合せはどれか。 

（イ）LNGサテライト基地におけるLNGローリー等からLNG貯槽への受入作業では、LNG サテライト基地側又はLNGローリー等に設けられたLNGポンプを使用して行われる。

（ロ）回転式スクリュー型のBOG圧縮機の容量調整は、アンローダー弁操作により容易に連続調整が可能である。

（ハ）ミキシングホルダーは、製造ガスを混合し、供給ガスの成分、熱量及び燃焼性を均一化させる機能を有する。

（二）エアフィン式気化器は、気化器出口のガス温度が外気温以下となることがあり、寒冷地等 では冬期の気化器出ロガス温度低下対策として、気化器の後流にNG加温器を設置する等の措置が必要となる場合もある。

（ホ）弁により液が配管中に封じ込められるおそれのあるところには、必要に応じて液の異常圧力降下を防ぐための措置を講ずる。"" ",イ、ロ,イ、二,口、ホ,ハ、二,ハ、ホ,,,,,ハ、二
"""電気計装設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）ブルドン管式圧力計は、ブルドン管の機械的な変位量を利用するもので、一般に高圧測定には不向きである。

（ロ）オリフィス式流量計は直管部を設ける必要があるが、カルマン渦式流量計は直管部を設ける必要がない。

（ハ）熱電対はゼーベック効果を利用したもので、基準接点の温度を一定に保つ必要があり、広範囲の温度測定が可能で、振動・衝撃にも強い。

（二）UPSは、交流入力を整流部で直流に変換し、蓄電池に充電するとともに、インバーター部で一定電圧、一定周波数の交流に変換後出力する装置である。

（ホ）PID制御のP動作とは、目標値とプロセス値の偏差の大きさに比例する制御動作をする もので、この動作だけではオフセットが残る。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,イ、ロ
"""LNGが気化した天然ガスをLPGで増熱して45MJ/㎥Nの供給ガスを1000㎥N製造する場合の天然ガスの使用量(㎥N)として最も近い値はどれか。
ただし、天然ガス及びLPGの発熱量は以下のとおりとする。（㎥N：標準状態におけるガスの体積)

天然ガスの発熱量（MJ/㎥N）　　40

LPGの発熱量(MJ/㎥N)　　          100"" ",714,800,817,900,917,,,,,917
"""都市ガスの付臭に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）ガスに付臭剤を注入する方式は、大別して液体注入方式、蒸発方式及び付奥方式の3種類がある。

（ロ）滴下注入方式は、注入量の調整をニードル弁等によって行うが、手動式の場合はその精度 は低いため、流量変動の少ない小規模の付臭設備に多く用いられる。

（ハ）付臭剤に求められる要件として、ガスの供給系統を腐食せずに安定性のよいものであることや、腐食疲労を起こしにくいことなどがある。

（二）臭気濃度とは、試料ガスを無臭の空気で徐々に希釈し、感知できる最大の希釈倍数をいう。

（ホ）付臭は、ガスの漏えいを早期に検知するためのものであり、臭気濃度が高すぎても特に問題は生じない。""",イ、ロ,イ、ハ,口、二,ハ、ホ,二、ホ,,,,,ハ、ホ
"""製造所の地震対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）ガス事業における地震対策は、1設備対策、2緊急対策、3復旧対策で構成される。

（ロ）設備対策は、設備の重要度に応じた耐震設計を行い、耐震性能の維持を図るための定期的な維持管理を行うことが基本である。

（ハ）緊急対策は、地震発生時の設備の緊急停止を防止し、ガス送出を継続することが基本である。

（二）地震発生直後の設備点検では、まずは、個別の機器ごとに詳細な点検を実施する。

（ホ）復旧対策において、原料・燃料や水等のユーティリティーは平常時より備蓄を確保するとともに、その調達ルートをあらかじめ確立しておくことが望ましい。""",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,ハ、二
"""製造設備の建設及び操業に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）レベル2地震動に対する耐震設計の考え方は、「構造物に変形は生じるが、倒壊、漏えいは生じず、人身事故を防止」することである。

（ロ）稼働調整方式である流量制御方式は、設備負荷を一定に保つことができ、かつ急激な需要変動に追従できる制御方式である。

（ハ）ガス主任技術者は、保安上重要なガス工作物を溶接する場合、溶接施工記録に問題がないことを確認しなければならない。

（二）製造設備に係る巡視点検は、保安規程に定める内容と製造所の操業実態にあわせて実施するが、その巡視点検結果を記録する必要はない。

（ホ）製造設備を安全かつ円滑に運転するため、あらかじめ運転管理基準、運転操作要領等を作成し、それに従って関係者の教育・訓練を実施する。""",イ、ハ,イ、ホ,ロ、ハ,ロ、二,二、ホ,,,,,ロ、二
"""製造設備の保全に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）引張応力発生下にある金属に腐食作用が働いて、破断応力以下でも割れが生じる現象を応力腐食割れという。

（ロ）粒界腐食とは、ステンレス鋼等不動態皮膜を持つ金属が非金属物質と面を接していたり、異物が付着していたりすると、接触面や異物との間にできるすきま部分に局部腐食が生じる現象をいう。

（ハ）放射線透過試験は、欠陥の形状をフィルム上に投影された像としてみることができ、場所的な制約もなく、わかりやすく直観性がある検査である。

（ニ）故障しても影響の少ない設備や代替設備がある場合、経済性を考慮して故障発生後に設備を運用可能な状態に回復する保全を事後保全という。

（ホ）浸透探傷試験は、金属、非金属あらゆる材料の表面欠陥を調べることができる。""",イ、ハ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,ロ、ハ
"""環境対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）窒素酸化物はノックス（Nox）といい、 燃料中に含まれる各種窒素化合物の燃焼により生成するものと、空気中の窒素が燃焼による高温状態で酸化されて生成するものとがあり、前者をサーマルNOXという。

（ロ）ばいじんとは、燃料等の燃焼に際して発生する、灰分又はすす等の固形物のことをいい、燃焼温度、空気比の適正な管理等の燃焼管理を強化することにより発生量を減少させることができる。

（ハ）都市ガス事業者にとって、環境問題への対応は、企業の社会的責任（CSR）として大きな柱になってきている。

（二）交流回路における電力（W）は、電圧（V）×電流（A）×力率で示され、力率が1に近いほど損失が少ない。

（ホ）廃棄物の処理及び清掃に関する法律に定義された産業廃棄物に該当しない廃棄物は、すべて特別管理産業廃棄物になる。"" ",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,イ、ホ
"A点からB点に低圧のガス100㎥/hを供給する導管AB（口径10cm、延長200m）がある。このとき、A点の圧力2.3kPa、B点の圧力2.1kPaであった。
新たにC点にガス400㎥/hを供給することとなり、導管AC（口径20cm、 延長400m）を新設した。A点の圧力2.3kPaのとき、C点の圧力（kPa）として最も近い値はどれか。なお、高低差は考慮しないものとする。",1.7,1.8,1.9,2,2.1,,,,,2.1
